text,label
"I don't believe they made this film. Completely unnecessary. The first film was okay. But there was no need for a sequel, certainly not after a television series that was already a sequel to the first film. This film feels like a soap-opera. The writing is so bad, it's utterly simple. The jokes don't come across, the acting is flat, it's shot like a soap, it lacks any direction. The first film had a good emotional spine behind it. Every character had a little arc. It was very simple then but somehow it worked and I could see the merit of that film. But this time around, there is no cohesive story-line. The characters are dull stereotypes and nothing interesting happens. One good thing: the Brazilian boy who plays Axel Daeseleire's son is pretty well cast. That was their one moment of creative success on this film. I hear they already shot a second television series as a sequel to 'Team Spirit 2' but please God, don't let them make a third feature installment...",0
"The summer has been so full of Blockbusters and comebacks of films, and not to mention some of the disappointments of those comebacks, that I was woe to find a film I could just sit down and enjoy. <br /><br />In case you don't want to read further down the page (there aren't any spoilers), I'll sum it up here: It's more mature than Ella Enchanted (there are some questionably violent parts, plenty of death, and a handful of scenes with a little blood, not for small children), but doesn't try to be overly corny or overstep its bounds. Think of it as a bit more serious, bit more magical Princess Bride, and you'll be close. <br /><br />-------------------------------------------------------------<br /><br />I am, perhaps, not as prodigious a movie goer as others... Maybe once or twice a month, if I feel active. I'm also a huge Sci-Fi/Fantasy fan. I get bored of remade repetitive story lines and films with more flash than filling faster than you can count to 10, and this film is the diamond in the rough.<br /><br />By the end here (August), I was tired enough of fractured expectations from the big hits that I averted seeing Bourne Ultimatum in favor of Stardust. Having had my hopes thoroughly muddied by Transformers for my Fiction addiction, the previews of Stardust seemed appealing, but I was certainly wary.<br /><br />As many others here, I was utterly surprised. I had gone in thinking to see another generic fantasy movie clichéd from here to breakfast. Don't be fooled, it is most definitely a fairy-tale, and it does indeed have witches, magic, and utterly requires suspension of disbelief... But the most refreshing thing I found, is that it's NOT based on anything I've seen or read in the past 15 years, and it's actually a really good movie.<br /><br />((Unlike 90% of the other movies which seem to persistently re-appear like thorns in a side, perhaps a sign that Hollywood is running out of ideas? I could read a book this year, and in two years the movie would be out as another ""Epic fantasy tale, the likes of LotR and the rest"" so says the NYT and such and such no doubt.))<br /><br />Stardust didn't have me bolted to my seat because of jam-packed action at every turn, nor was I sweating bullets because of plot-hook after plot-hook threatening to tear the dramatic tension apart and echo throughout the theater in a loud boom. It didn't even use enormous blasts of sound to grab my attention to what's happening on screen (Transformers, I'm looking at you). It's not trying to show off the latest CGI techniques, nor did it offend my intelligence with dimwitted dialogs and story lines that are simple enough I could've figured them out in 3rd grade (boy I hate those). <br /><br />I just... watched. Watched, and enjoyed a refreshingly CREATIVE storyline unfold before my eyes. Sure, I may have known what was going to happen throughout most of the film, but it makes you forget that. It even made my heart twinge at some parts, but the most important aspect I noticed is that I left the theater feeling better than when I'd gone in.<br /><br />It truly is a gem. After so much slush this summer with so many remakes and films that fell short of my expectations, this was like a cold sweet cup of tea to cap off all the hard work I'd done sitting through the others trying to come out of them with my money's worth.<br /><br />It's probably not for everyone, but do yourself a favor; If you enjoy fantasy films that stand the test of time alone (Princess Bride, Black Cauldron, The Dark Crystal, etc.) then you should really see this movie. This little diamond is finding its way into my DVD collection the moment it hits stores, you can trust me on this.<br /><br />Simply wonderful.",1
"The Dukes of Hazzard is quite an achievement  a $53m film that's worse than any given episode of a downmarket 25-year old TV show. The plot is serviceable enough but the mindless fun is rarely to be found and the casting is pretty atrocious: Johnny Knoxville is more passenger than protagonist, M.C. Gainey's Sheriff Roscoe is a bland thug, Michael Weston's Enos tiresome, a seemingly ideally-cast Willie Nelson just seems to be waiting for the check to clear and Burt Reynolds, stuck in some purgatory where he's doomed to relive his old movies as a bit player, is a curious choice for Boss Hogg to say the least but does have one good moment with a heckler and a hundred dollar bill. You know a film is in trouble when Seann William Scott and Jessica Simpson are the most charismatic screen presences But worse than the script or the casting is Jay Chandrasekhar's hopeless direction: seemingly born with no conception of comic timing, unable to do much more than basic two-shots and seemingly clueless as to how to shoot a car chase let alone the couple of decent stunts in the film, he seems determined to sap the film of any signs of life before they materialise. There are a couple of neat post-modern moments revolving around the Confederate Flag and Daisy's stereotypical role in every episode, but no film that makes you pine for the days when Hal Needham was directing this sort of thing (and badly) can be a good thing.",0
"This is one of the weakest soft porn film around. I can't believe somebody wrote this stupid story before making some changes. The guy Mike is a major wimp and moron I can't believe he didn't want to take a shower with his bride-to-be Toni and be in a threesome with the french photographer Jan. He does do a threesome with Toni and Kristi but that was short I hate that every time in Soft Core Porn Films threesomes between a woman, a man, and a woman is short but a girl-girl thing is about an hour. To the makers of these films have the threesomes alot longer this film should've have two threesome scenes not one but two.",0
"Kareena Kapoor in a bikini hmmmmmmmm.<br /><br />Akshay Kumar...<br /><br />Anil Kapoor....<br /><br />Maybe Saif....<br /><br />Kareena Kapoor in a bikini.....<br /><br />Good Banner..<br /><br />Kareena Kapoor in a bikini.....<br /><br />Not one good reason not to see this movie....<br /><br />Or so i thought ........Didnt these people make JBJ...<br /><br />Why o Why did i forget that.<br /><br />For all the criticism the first half of the movie isn't that bad...<br /><br />There is some intrigue and YOU FEEL A SORT OF IRRITATION MIXED WITH EXCITEMENT THAT I FELT WHEN SEEING GUY RITCHIE MOVIES LIKE LOCK STOCK AND SNATCH.<br /><br />Kareena Kapoor is sizzling in a very skinny model sort of way.<br /><br />Akshay Kumar is Akshay Kumar as only he can be.<br /><br />Anil Kapoor is annoying but kind of funny, YOU ALMOST FORGET THAT MOST OF THE TIME YOU CANNOT UNDERSTAND HIM.<br /><br />Saif is sidey ala Main Khiladi.. once again.<br /><br />There is the occasional laugh and a few chuckles, and a few goosebumps during the kareena-saif love story (kareena in the rain, behind me on my bike hmmmmmmm).<br /><br />BUT MOSTLY THIS HALF PROMISES MORE THAN IT DELIVERS.....<br /><br />WHICH MAKES THE SECOND HALF ALL THE MORE UNBEARABLE....<br /><br />There was almost a cheer when the interval came not only because because of the wet kareena because of what people thought were the things to come.<br /><br />INSTEAD WE WERE TREATED TO MIND NUMBING TORTURE WHICH IS DIFFICULT TO PUT IN WORDS.<br /><br />Saif suddenly seam like a comic sidekick...<br /><br />SUDDENLY THE SEXY KAREENA LOOKS ANOREXIC, YOU REALISE THAT THE SECOND LAST FLOOR IS NOW EMPTY AND HER FACE LOOKS TO BIG FOR HER BODY ( only girls can notice this and make other guys notice the second last floor was my observation).<br /><br />ANIL KAPOOR AND HIS SIDEKICKS GET ON YOUR NERVES.<br /><br />Akshay Kumar is the only one who carries off the madness to some extent but even he become intolerable after a while.<br /><br />ALL THE WHILE YOU ARE SUBJECTED TO ONE ABSURDITY AFTER THE OTHER.<br /><br />WHY??!! WHAT??!!! WHEN?!!! WHERE?!!! WHAT HAVE I DONE TO DESERVE THIS...<br /><br />A collective gasp went trough the audience before every song in the second half, which were ordinary even without the movie around it.<br /><br />Cannot relieve the trauma anymore....<br /><br />CONCLUSION.<br /><br />THIS MOVIE STARTS OF AS A BUZZ WHICH YOU FEEL COULD EVEN TURN OUT TO A HIGH BUT ENDS UP SLOWLY MOVING TOWARDS A HEADACHE AND THEN RAPIDLY TURNS INTO A FULL BLOWN MIGRAINE ATTACK.<br /><br />Please don't watch this movie for any reason other than academic interest.<br /><br />+s Cast, Akshay Kumar, first half.<br /><br />+/-s what, when, how, who to much confusion.(need a book to fill this).<br /><br />+s cast, the whole second half (need many pages to fill this).<br /><br />total 3/10 (im trying to avoid the 1s and 2s too not seem to extreme but make no mistake this movie is unwatchable no matter how decent the first half is).",0
"Having been forced by my children to watch this at least 10 times for each of the last 2 Christmases, I feel adequately qualified to pass judgment on this version of Dr. Seuss' classic tale, and well... it's not very good. First off, following a classic act like Chuck Jones' animated TV special is going to be difficult for anyone, but this interpretation is so heavy-handed and padded as to be positively numbing. I will concede that there are a handful of inspired gags, but overall the film comes off as a calculated cash grab, at the same time as it is supposedly decrying the commercialisation of Christmas. Jim Carrey is typically over the top here, but that is completely at odds with the character of the Grinch. As characterised by Boris Karloff, he was a slow burn; methodical and sly. There is no method to Carrey's madness, and that is only the most obvious error made. Talented actors like Jeffrey Tambor and Christine Baranski are utterly wasted here. Why, Universal, why? I mean , I understand that Tony Hopkins will take just about any role offered (much like his countryman Michael Caine), but this one needs to be filed under ""Films that should never have been made."" This does not bode well for the Cat in the Hat, an even thinner tome that Universal is prepping for this Christmas. I get the feeling that I will be making the same recommendation for that one as I am with this one: skip it, and either read the book or watch the TV special. This is 2 hours you can never, ever get back.",0
"Good western filmed in the rocky Arizona wilds. Lots of tough guys throughout; Cobern's character seemed to rock back and forth between a raging psycho and a laid back type. Several holes appeared in the picture, but not enough to offset it being exciting and worth seeing. One really dumb scene shows Heston emptying .45 cases of their powder and collecting it in a sack for the purpose of starting a fire. A. To gather that much gunpowder he would have needed a pack mule to carry the ammo. B. The grass was obviously dry: why not just drop a match on it and let 'er rip?",1
"Humphrey Bogart clearly did not want to be in this film, and be forced to play a part-Mexican or he would have been suspended. Believe me , he made the wrong choice! Presumably, after the success of ""Dodge City"", Warners tried a follow-up with Errol Flynn and his usual list of buddies, like Alan Hale, Guinn (Big Boy) Williams, Frank Mc Hugh and the ever-present John Litel, but they made the huge mistake of trying to present Miriam Hopkins as a love interest for Flynn v. Randolph Scott, and as a singer to really make things bad, because she proved one thing, and that is she cannot sing. The story was not too bad, but with Bogie clearly miscast also, it turned out to be a poor Western that was overlong, and on a low budget, but in fairness, color would not have helped.",0
"Spoiler!!! This movie is based on the concept of What If? Of course Mr Destiny will be able to answer this question. The main character goes through a bad day, like many of us, and asks this question. Chaos Theory states a butterfly in China could have an effect on someone over here from a chain reaction. The focus of this movie is based on one event during a baseball game. This event sets into motion one's Destiny; Just like Ashton in ""The Butterfly effect"" except Mr. Destiny uses comedy over drama. The results make a fresh, somewhat original movie. If one's philosophical are in tune with ""The Butterfly Effect"" one will likely enjoy Mr. Destiny. I give it a 7 out of 10. Amazing for I have seen the first half of this movie 3 times, and finally watched the ending on TBS.",1
"I run a group to stop comedian exploitation and I just spent the past 2 months hearing horror stories from comedians who attempted to audition for, ""Last Comic Standing."" If they don't have a GOOD agent, then they don't even get a chance to audition so more than 80% of the comedians who turn up are rejected before they can show anyone that they have talent! If they do make it to an audition, I was told that it's ""pre-determined"" if they get a second chance. So what the TV audience sees is NOT the best comics in the US.<br /><br />If the comics do make it to the show, then most of them don't get IMDb credits. I know this because I did the credits for all 6 seasons of, ""Last Comic Standing"" and I don't get paid for doing the Producers' job. It's really a disgrace. A month ago, I asked, ""Last Comic Standing 7"" on Facebook why the Producers aren't giving IMDb credits and I was banned from their Facebook Page!!! I am not a comedian so I do not have a personal stake in this. I just want people to know the truth. I don't like seeing ANYONE getting exploited and that's why I've been helping the comedians. Comedians get exploited on HBO, BET, TvOne and other cable networks but NBC is a BIG THREE network so those in charge should be ashamed of themselves for allowing this exploitation to happen.<br /><br />Please watch this video of a comedian who was victimized: http://www.youtube.com/watch?v=RMb4-hyet_Y",0
"I don't think most people give this movie as much credit as it deserves. I love low budget horror movies and this takes the cake, especially for originality. Yes the Scarecrow is a Kung-Fu fighting frightner, but why not? No one else is willing to go that far. I really haven't had this much fun watching a movie since Candyman. So the town picks on this one kid calling him scarecrow, even his mom doesn't care about him. Then he gets killed and the spirit is infused with in the Scarecrow, who then goes on a Killing spree. His demise is relatively easy to assume once the movie gets going. The dedications at the end go straight to a bunch of horror directors, but with most dedication towards Dario Argento really struck me as cool, these folks who wanna make movies of a newer genre. Over the movie has a lot of Arnold rip offs, with one liners you'll definitely laugh at like stick around and he kills the sheriff with a stick. I would say, grab a pizza some friends an laugh your A$$ off with this movie. I love it for its originality, most fun.",1
"I watched Phat Beach on cable for a while and I sort of enjoyed it. The fat guy is the best character, as he seems to be a nice guy. The rest of the characters are just various stereotypes of young men and young black men. I like to watch these low budget movies that capture a period of time because they are almost like a documentary of the year's attitudes and fads. Phat Beach is also funny because the low-budget babes in this movie are strictly home-girls. Most low-budget movies have that ""local babe"" quality, and you can tell the babes in this movie were the local strippers and underwear models for JC Penneys. Some of them had so much cellulite hanging from their bikinis that it was funny to watch how the ""youngsters"" went wild over what was essentially some really over-used, high-mileage skank. There were some cuties too. That is the charm of these low-budget crappy movies. You will see a lot of doggies, and some real cuties! I checked up on some of them at IMDb and seven years later Phat Beach is their only credit. Too bad. It would be interesting if someone ever managed to do a ""Where are they now"" book on all of the cuties that have appeared in the history of movies and then were never again to return. What happened?? There are probably one or two young people in almost every movie who seem to have a lot going for them and yet years later when you see the movie again on TV you wonder ""what ever happened to X?"" Anyhow, this movie mostly blows, but it has some funny moments.",0
"Sergio Martino's The Case of the Scorpion's Tail is a scenic giallo from the early 70's heyday of the genre. An explosion on an aeroplane results in one million dollars in insurance money for a bereaved but unfaithful wife. The money is subsequently snatched by a black-clad assassin and a series of brutal murders follow.<br /><br />Scorpion's Tail plays the mystery element, written by giallo specialist Ernesto Gastaldi, fairly straight. But, being a giallo, the murders themselves are memorable and well-staged. In fact, the violence in this movie is very strong in places - a scene with a broken bottle being particularly graphic. The emphasis on the violence no doubt influencing the giallo genre to move into more and more extreme territory. But like the best films in the genre the brutality is offset by a good score and attractive photography. The music by Bruno Nicolai is at times reminiscent of Ennio Morricone's avant-garde work in The Bird with the Crystal Plumage but is also strong in its own right. The photography is helped by the nice use of foreign locales - in this case London and Athens - where Martino manages to get in, respectively, the Houses of Parliament and the Acropolis! There is also some inventive camera-work too, the most effective being the use of slow motion in a sequence where a woman runs towards the door where the maniac is prowling outside. In this particular scene Martino has the killer hack through the door with a knife in a manner influenced by Dario Argento's Crystal Plumage, however, it also has the killer attempt to flick the latch open with the blade of a knife which is something repeated later by Argento in Suspiria. So Martino's film is influential in its own right.<br /><br />This is a good solid giallo that both genre and non-genre fans can appreciate. The performances are good and the production values are fine (although the plane explosion is, shall we say, somewhat low-budget!). The DVD release by NoShame is nice. It has both the English and Italian language options which is a real bonus. However, it is worth pointing out that at times you need to be a fast reader to fully appreciate the English subtitle option. This applies to both the movie and the documentary in the extras. This is a minor point though, the DVD release is a worthy addition to any giallo collection.",1
"I had no problem with the film, which I thought was pretty good. It's the actual LAPD crime scene video that disturbed me. I wonder if Lion's Gate REALLY thought that the general viewing audience would want to see people that were brutally beaten to death and blood all over the place. Sorry Lion's Gate, this was an INCREDIBLY BAD IDEA!!!<br /><br />Getting back to the film: The cast was excellent, especially Val Kilmer as the late John Holmes. John Holmes was a sleaze ,mistreats the women in his life (Lisa Kudrow as his wife, Kate Bosworth as his girlfriend),and he is hopelessly deep into drugs. His connection to Eddie Nash (Eric Bogosian)creates a spiral that resulted in the infamous Wonderland murders. Exactly how much was Holmes involved in the murders? We may never know the entire truth to the story(Nash is still alive and a free man),but the film does a pretty good job nonetheless.",1
"The supernatural, vengeful police officer is back for a third installment, this time acting as guardian angel for a wrongfully accused female cop. Standard stalk and slash picture, yet well acted and directed, thus making it oddly interesting and watchable, though the violence isn't for the squeamish (especially the director's cut which was originally given an ""NC-17"" rating).<br /><br />*1/2 out of ****",0
"I watched this film last night with anticipation, but really wasn't very impressed.<br /><br />With the exception of 'Combo', I thought the acting was poor and the narrative was limited. It came across like a 'made for TV' drama.<br /><br />I felt that the film was very contrived. The whole set up of hammering in the context at the start (yes, we get that this is 80s Britain - you can stop now) was tiresome, and gave a very one-sided view of what life was like in 80s Britain - poverty, war juxtaposed with royalty, Margaret Thatcher, yet nothing in between? There were actually middle-classes who existed back then - just ordinary working people, with a decent wage and a mortgage. The Falklands clips also seemed to be added randomly towards the end, for 'dramatic effect', I presume.<br /><br />The sequence of events felt a tad disjointed, as the characters moved one one action to the next without us seeing how their mindset could've changed so quickly.<br /><br />The relationship between 'Shaun' and 'Smell' was toe-curling. I couldn't even look during the snogging scene. I find it very hard to believe that she would've been attracted to a boy who was not only so much younger, but also looked so much younger. I know there were only four years between them, but four years is nothing once you reach your twenties, yet it's a huge difference in your teens! In my experience, that kind of teen age difference only occurs when the girl is the younger one, since girls mature so much quicker, and are more on the wavelength of boys a few years older. Sorry, but I didn't buy it - an unnecessary plot point created for shock value.<br /><br />The ending was somewhat abrupt and, again, contrived. If the flag throwing incident was supposed to be iconic, then it fell somewhat short in my eyes.<br /><br />It bugs me that British films only concern themselves with either the upper classes or the poverty-stricken. Don't get me wrong, I love Trainspotting, and Four Weddings has its charms, but can't we Brits come up with anything different? Why are our films always so hung up on the class system? I was born in 1973, so wasn't much different in age to 'Shaun' would've been in 1983. I grew up in a single parent family on a fairly down-trodden council estate in a city in England. However, my childhood experiences were vastly different to those portrayed in the film - I don't even remember racism being an issue (although i'm not saying it didn't exist). 'This is England'? Not in my experience.<br /><br />The bottom line is that I felt this film lacked substance, and I was completely bored and unimpressed throughout.",0
"This is part one of a short animation clip showing the history of the Matrix, the war between man and machine that resulted in the eventual creation of the Matrix. The animation is part Japanese anime, part contemporary american animation, and is very well made, considering the excellent directors behind the movie. It shows the initial development of AI and the exploitation of the machines by Man, until the day they rebelled...",1
"Why on earth is Colin Firth in this pointless film? Has he really been that strapped for cash?<br /><br />The film isn't clear on what it wants to be about, grief?, exotic places?, ghosts?, a vehicle for Mr Darcy? It's a muddled, muddy mess.<br /><br />There seems to be some sort of idea that Italy must be good, in itself, and that Italian has something to offer as a language - but in the end the girls just want to go back to yankland.<br /><br />There are pointless episodes on the beach, in churches, on busy roads - but what it is all about, or why anybody should care simply isn't clear.<br /><br />There was also a yank woman in the film. It wasn't clear what here job was, but she seemed only to be there to make vapid, inappropriate and maudlin comments to the girl. Was it supposed to be about paedophillia??<br /><br />A pretty dreadful mess, all in all. I gave it 2 rather than 1 because it doesn't have the charm of an utterly ghastly film.",0
